,Unnamed: 0,absmag,ci
0,0,4.85,0.656
1,1,2.39,0.482
2,2,5.866,0.999
3,3,-1.619,-0.019
4,4,2.421,0.37
5,5,1.494,0.902
6,6,8.607,1.336
7,7,5.828,0.74
8,8,2.536,1.102
9,9,0.473,1.067
10,10,3.763,0.489
11,11,0.446,0.081
12,12,0.989,1.484
13,13,-11.2,1.128
14,14,0.683,1.2
15,15,0.005,1.166
16,16,2.476,0.425
17,17,2.329,0.421
18,18,7.773,1.567
19,19,-0.454,0.955
20,20,3.585,0.516
21,21,1.163,1.438
22,22,1.175,0.962
23,23,2.89,0.456
24,24,3.934,0.528
25,25,1.728,0.763
26,26,4.113,0.535
27,27,4.16,0.671
28,28,2.346,0.468
29,29,1.068,1.041
30,30,1.319,0.142
31,31,0.196,1.453
32,32,1.497,0.04
33,33,2.82,0.466
34,34,2.066,0.514
35,35,3.258,0.916
36,36,1.35,1.15
37,37,2.532,0.391
38,38,5.518,0.778
39,39,2.629,0.475
40,40,0.889,0.026
41,41,-9.39,0.57
42,42,2.134,0.387
43,43,0.508,1.032
44,44,0.281,1.104
45,46,-1.034,1.035
46,47,7.729,1.15
47,48,-1.824,1.164
48,49,1.654,0.45
49,50,2.62,0.616
50,51,-11.06,0.906
51,52,1.953,0.196
52,54,7.066,1.03
53,55,3.338,0.551
54,56,1.097,1.329
55,57,5.894,0.863
56,58,4.106,0.52
57,59,-10.91,0.091
58,60,2.161,0.386
59,61,2.597,1.081
60,62,0.823,0.994
61,63,-0.01,-0.047
62,64,1.144,1.156
63,65,7.31,1.147
64,66,3.027,0.401
65,67,1.944,0.495
66,68,6.293,0.94
67,69,2.02,0.135
68,70,4.289,0.706
69,71,2.577,0.846
70,72,4.251,0.671
71,73,-0.337,1.446
72,74,6.687,1.068
73,75,-1.614,1.524
74,76,1.334,1.67
75,77,1.812,0.022
76,78,-1.194,1.203
77,79,1.525,0.529
78,80,4.08,0.566
79,81,5.363,0.642
80,82,-10.5,1.107
81,83,0.174,1.726
82,84,6.214,0.852
83,85,3.199,0.359
84,86,0.873,0.018
85,87,0.142,0.43
86,88,-0.588,0.911
87,89,-0.952,1.566
88,90,2.37,0.5
89,91,0.266,1.3
90,92,0.643,0.944
91,93,4.186,0.619
92,94,5.311,0.644
93,95,2.8,0.513
94,96,7.73,1.36
95,97,3.657,0.551
96,98,3.201,0.53
97,99,-2.675,2.835
98,100,2.114,0.898
99,101,4.483,0.509
100,102,-0.223,1.55
101,103,3.085,0.538
102,104,4.392,0.543
103,105,0.524,0.455
104,106,-0.281,0.97
105,107,-0.576,1.615
106,108,-11.47,1.315
107,109,1.043,0.388
108,110,5.131,0.787
109,111,8.353,1.308
110,112,8.226,1.384
111,113,-11.07,0.021
112,114,2.595,0.654
113,115,0.399,0.16
114,116,3.11,0.435
115,117,-1.303,1.093
116,118,4.75,0.606
117,119,0.861,1.071
118,120,0.209,1.183
119,121,0.057,1.197
120,122,0.663,1.254
121,123,1.068,1.169
122,124,-4.293,0.407
123,125,1.966,0.366
124,126,0.672,0.969
125,127,6.218,0.942
126,128,2.251,0.182
127,129,3.204,0.559
128,130,1.713,1.08
129,131,2.643,0.2
130,132,2.231,0.358
131,133,0.022,0.545
132,134,0.282,0.264
133,135,5.142,0.62
134,136,0.318,1.153
135,137,-1.617,-0.042
136,138,1.742,1.074
137,139,1.922,1.289
138,140,3.794,0.546
139,141,1.647,1.35
140,142,3.451,0.73
141,143,0.76,1.364
142,144,7.058,1.033
143,145,-0.589,-0.128
144,146,1.842,0.306
145,147,-11.51,1.569
146,148,7.969,0.932
147,149,1.105,0.584
148,150,1.617,1.06
149,151,3.633,0.456
150,152,2.656,0.459
151,153,2.114,0.411
152,154,-1.24,1.631
153,155,2.456,0.283
154,156,1.225,0.1
155,157,2.274,0.903
156,158,1.158,0.999
157,159,2.952,0.292
158,160,0.332,-0.052
159,161,0.014,1.5
160,162,1.881,0.696
161,163,1.885,0.107
162,164,0.675,0.97
163,165,0.746,0.45
164,166,3.721,0.66
165,167,1.767,0.06
166,168,0.337,1.113
167,169,8.313,1.39
168,170,2.995,0.509
169,171,5.374,0.69
170,172,-0.665,0.976
171,173,0.55,0.248
172,174,2.23,1.035
173,175,1.116,0.923
174,176,2.188,0.53
175,177,2.046,0.172
176,178,2.787,0.556
177,179,2.826,0.534
178,180,1.184,1.171
179,181,-1.033,1.832
180,182,0.377,1.004
181,183,-0.899,-0.15
182,184,6.01,0.888
183,185,4.086,0.53
184,186,0.883,0.182
185,187,3.442,0.5
186,188,3.629,0.488
187,189,1.505,0.237
188,190,4.03,0.57
189,191,9.51,1.49
190,192,0.983,1.032
191,193,2.74,0.944
192,194,2.865,0.315
193,195,2.267,0.517
194,196,-11.05,1.677
195,197,-0.299,0.952
196,198,2.206,0.276
197,199,0.212,0.074
198,200,3.259,0.323
199,201,3.417,0.474
200,202,-0.573,0.303
201,203,1.221,0.981
202,204,-0.561,1.274
203,205,3.061,0.384
204,206,3.476,0.436
205,207,2.074,0.967
206,208,-14.13,1.073
207,209,-12.8,0.085
208,210,3.402,0.47
209,211,3.058,0.832
210,212,3.803,0.318
211,213,1.913,1.003
212,214,1.052,0.29
213,215,-0.436,0.118
214,216,0.952,1.8
215,217,0.879,0.016
216,218,0.664,1.005
217,219,3.599,0.602
218,220,1.288,0.18
219,221,1.877,0.483
220,222,0.724,1.113
221,223,1.307,1.01
222,224,4.022,0.617
223,225,3.707,0.489
224,226,-9.7,0.254
225,227,5.156,0.442
226,228,2.623,0.532
227,229,0.544,0.128
228,230,2.847,0.423
229,231,2.313,0.5
230,232,2.1,0.007
231,233,0.854,1.18
232,234,1.188,0.31
233,235,1.821,1.222
234,236,0.263,1.26
235,237,3.007,0.903
236,238,2.318,0.526
237,239,2.458,0.521
238,240,3.448,0.565
239,241,1.595,1.01
240,242,1.992,0.967
241,243,0.393,1.041
242,244,0.782,0.668
243,245,1.752,1.036
244,246,6.009,0.99
245,247,2.864,0.346
246,248,2.878,0.342
247,249,4.21,0.552
248,250,1.156,0.88
249,251,-11.35,1.349
