publikationsjahr;wohnviertel_id;wohnviertel_name;anteil_sozialhilfeempfaenger;anteil_auslaender;anteil_personen_ohne_religionszugehoerigkeit;anteil_personen_in_einpersonenhaushalten;gymnasialquote;altersquotient;anteil_sesshafte;jugendquotient;baujahr_der_wohngebaeude;anteil_einfamilienhaeuser;anteil_gruenflaechen;flaeche_pro_wohnung;wohnflaeche_pro_person;vermoegenssteuer_pro_veranlagung;einkommenssteuer_pro_veranlagung;erwerbstaetigenquote;arbeitsplaetze_pro_einwohner;arbeitslosenquote
2015;1;Altstadt Grossbasel;0.0171149144;0.2514262429;0.5179299104;0.3244626407;0.7777777778;0.2979214781;0.3288508557;0.1189376443;1825.4004065;0.1016260163;0.0666933545;90.808058608;55.739958;4297.4797255;15795.731129;0.8242629221;4.3544473047;0.019072193
2015;2;Vorstädte;0.0316351684;0.3533278554;0.532251438;0.3458125947;0.6363636364;0.3747263059;0.2791700904;0.1479512043;1899.0979667;0.0757855823;0.1941983862;81.803421369;51.200218;4902.3171399;14894.945946;0.779869044;4.5307181938;0.0234714672
2015;7;Bruderholz;0.0176619936;0.2298266917;0.4586598962;0.1668169522;0.6081081081;0.4424654793;0.4273098576;0.3704222534;1948.4105769;0.7346153846;0.7137686422;109.38321839;50.067809;8585.6866706;18103.101406;0.7528344063;0.1301440149;0.023127373
2015;8;Bachletten;0.022092075;0.2103195196;0.4554822448;0.2249736565;0.6091370558;0.3746287129;0.4218251909;0.2948019802;1934.0255898;0.5617752899;0.4086191053;93.17958042;47.396467;1632.6508096;11363.577884;0.7900055569;0.1900611389;0.0236359502
2015;10;Iselin;0.0894615291;0.3602771363;0.4455451562;0.2841523342;0.2623574144;0.2604693971;0.331530327;0.2539346526;1937.1656315;0.1677018634;0.3751254803;68.638626339;37.648552;425.86793444;6405.3080479;0.7011769552;0.1550200906;0.0426790524
2015;12;Altstadt Kleinbasel;0.0605316973;0.3574642127;0.5390593047;0.3524734982;0.3181818182;0.2713711991;0.2748466258;0.1313826736;1880.975;0.1035714286;0.0861577252;72.511597084;43.750334;870.18052869;7509.6550613;0.822944757;1.7495900292;0.045515299
2015;18;Klybeck;0.1295590637;0.5145617855;0.41385411;0.2189267485;0.184;0.2063812601;0.330430049;0.2774636511;1936.9953917;0.0737327189;0.1134904954;65.612052731;31.787298;175.2650514;4633.4769946;0.6123583837;0.9509754565;0.0704337269
2015;19;Kleinhüningen;0.1331710709;0.4568845619;0.3831710709;0.1889650198;0.170212766;0.2797356828;0.3358831711;0.3039647577;1946.2710843;0.156626506;0.0958097627;70.50295858;32.888446;192.43363995;4771.4277267;0.6601747734;1.652421818;0.0575156161
2016;3;Am Ring;0.0349558354;0.33959782;0.4949257658;0.2939909762;0.595959596;0.357468727;0.3062394287;0.208682855;1918.4872014;0.1988054608;0.2396088874;82.223343643;46.895766814;3212.0137397;11520.438408;0.8025100513;0.9869864551;0.0273742642
2016;4;Breite;0.0561708861;0.3244801085;0.4772830018;0.2854202401;0.311827957;0.3311619718;0.3549954792;0.226584507;1939.7367625;0.1376701967;0.3569380827;69.808843406;38.815268399;482.15108977;7200.9137421;0.7127164035;0.1178869912;0.0462277709
2016;6;Gundeldingen;0.0681336161;0.3957582185;0.4475609756;0.2757723577;0.2478632479;0.2169818428;0.3036585366;0.2039478641;1932.197193;0.0294736842;0.1771602738;70.454019874;38.661596132;467.21327303;7015.5679743;0.7435328659;0.6310109477;0.0392068343
2016;12;Altstadt Kleinbasel;0.0673511294;0.3585215606;0.549486653;0.3411400795;0.3333333333;0.2751599767;0.2755646817;0.1413612565;1880.8932384;0.1067615658;0.0809756044;72.425378041;43.858865565;1123.2948052;8131.5571429;0.7344872505;1.6829506213;0.0375301588
